METRO_AREA,STATE,LAT,LON,TOTAL,NAT_RES,CONSTRUCTION,DURABLE,NONDURABLE,RETAIL,TRANSPORT,INFORMATION,FINANCE,BUSINESS,SOCIAL,ARTS_ENT,GOVERNMENT,OTHER
Farmington,NM,36.7646532,-108.1434242,1.4,1.94,-0.35,-0.02,0.03,0.32,-0.46,-0.03,-0.18,0.07,0.15,0.08,-0.02,-0.1
Fayetteville,NC,35.0526641,-78.8783585,-3.2,0.22,-0.46,-0.05,-1.05,-0.04,0.14,-0.1,-0.22,-0.6,0.24,0.01,-0.18,-1.07
Fayetteville-Springdale-Rogers,AR,36.3351878,-94.1461383,3.1,0.05,0.06,-0.03,0.32,0.63,0.08,(D),0.26,1.45,0.19,0.13,(D),-0.13
Flagstaff,AZ,35.1982836,-111.651302,-0.2,-0.06,-0.18,-0.1,-0.35,0.78,-0.88,0,-0.18,0.13,0.56,0.26,-0.01,-0.14
Flint,MI,43.0125274,-83.6874562,-0.4,-0.14,0.08,-0.28,0.02,0.41,0.09,0.95,-2.16,0.23,0.39,-0.03,0.12,-0.08
Florence,SC,34.87107,-82.402989,0.6,-0.17,-0.34,0.2,0.08,0.28,-0.27,0.2,0.04,0.62,0.16,0.05,-0.37,0.08
Florence-Muscle Shoals,AL,34.7610417,-88.0064445,2.7,-0.22,-0.2,0.97,0.12,0.21,0.11,0.04,1.12,0.24,0.36,0.05,-0.09,-0.01
Fond du Lac,WI,43.7745378,-88.4469103,3,1.31,-0.12,-0.27,0.1,0.14,0.23,0.39,1.02,0.08,0.23,0.06,-0.12,-0.05
Fort Collins,CO,40.5665121,-105.1012956,5.9,0.2,0.41,0.96,0.31,0.55,0.32,0.06,1.15,1,0.34,0.3,0.1,0.2
Fort Smith,AR,35.2891009,-94.2893759,1,(D),-0.14,0.06,0.11,0.35,0.25,0.11,-0.86,(D),0.2,0,-0.09,-0.12
Fort Wayne,IN,41.1295365,-85.1770754,0.4,-0.3,-0.14,0.14,0.11,0.28,-0.08,-0.19,0.05,0.16,0.38,0,0.05,-0.09
Fresno,CA,36.8463235,-119.796749,0.5,-1.25,-0.07,0.03,0.01,0.6,-0.1,0.25,0.05,0.03,0.51,0.12,0,0.29
Gadsden,AL,34.0129911,-85.9958659,1.5,-0.11,0,0.41,0.16,0.27,-0.02,-0.07,-0.11,0.36,0.5,0.02,0.11,0
Gainesville,FL,29.6508377,-82.3170554,1.5,-0.03,-0.26,(D),(D),0.33,0.16,(D),0.02,(D),0.58,0.18,(D),-0.07
Gainesville,GA,34.254933,-83.843399,2.1,-0.08,0.01,0.42,0.37,-0.38,0.26,0.09,-0.62,0.82,0.86,0.28,0.12,-0.04
Gettysburg,PA,39.8326496,-77.2235271,2.4,-0.11,-0.26,0.02,1.2,-0.06,0.11,-0.28,0.9,0.8,0.27,-0.18,0.12,-0.12
Glens Falls,NY,43.3157349,-73.623594,0.6,-0.11,-0.57,-0.3,0.16,0.43,0.03,0.15,-0.16,0.28,0.31,0.32,0.02,0.01
Goldsboro,NC,35.3848841,-77.9927651,-1.9,-0.26,-1.94,-0.27,0.82,0.24,-0.07,-0.1,0.34,0.05,-0.16,-0.13,-0.07,-0.42
Grand Forks,ND,47.9228845,-97.033506,2.6,-0.92,0.18,0.59,-0.15,0.67,0.25,-0.05,0.85,0.25,0.4,0.1,0.13,0.27
Grand Island,NE,40.9263957,-98.3420118,-1.3,-2.38,0.02,-0.27,0.51,0.34,0.05,(D),0.22,0.17,0.09,0.03,(D),0.03
Grand Junction,CO,39.0700642,-108.4779567,1.2,0.97,0.07,0.13,0.08,0.37,-0.6,-0.19,0.75,0.01,-0.46,0.07,-0.08,0.13
Grand Rapids-Wyoming,MI,42.9704446,-85.6676674,4.5,-0.09,0.03,0.6,0.91,0.63,0.33,0,0.64,0.81,0.52,0.07,0.12,-0.05
Grants Pass,OR,42.4402017,-123.3293338,5.4,-0.11,-0.13,1.44,0.09,0.3,0.58,0.03,0.99,0.48,1.01,0.25,0.24,0.23
Great Falls,MT,47.5016229,-111.3061042,2.3,-0.33,0.63,0.19,1.36,0.08,0.04,-0.48,-0.14,0.6,0.83,0.16,-0.46,-0.21
Greeley,CO,40.4339288,-104.6925295,9.9,3.65,1.28,0.55,-0.08,1.05,1.1,-0.05,0.77,0.74,0.32,0.18,0.24,0.12
Green Bay,WI,44.519159,-88.019826,-0.3,0.13,-0.08,0.21,0,0.4,-1.56,(D),0.13,0.49,0.18,-0.27,(D),-0.04
Greensboro-High Point,NC,35.9806749,-79.9792366,2.9,0.02,-0.09,1.2,-0.84,0.15,0.15,-0.02,2.26,0.26,-0.1,-0.01,-0.03,-0.08
Greenville,NC,35.6121597,-77.3959359,1.6,-0.08,0.01,-0.07,0,0.65,0.01,0.04,0.78,0.28,0.16,-0.04,0.11,-0.26
Greenville-Anderson-Mauldin,SC,34.7163191,-82.791358,3.1,0.08,0.84,1.33,-0.2,0.39,-0.03,-0.08,0.34,0.25,0.32,0.12,-0.27,0.07
Gulfport-Biloxi-Pascagoula,MS,30.4684444,-88.9152828,-2.4,-0.01,-1.67,0.4,1.13,0.02,-0.19,-0.03,-1.41,-0.03,0.07,-0.11,-0.18,-0.41
Hagerstown-Martinsburg,MD,39.5723991,-77.9261115,1.1,0.57,-0.42,0.22,0.21,-0.03,0.13,0.07,-0.05,0.45,0.16,-0.09,-0.01,-0.08
Hammond,LA,30.4956185,-90.4622085,2.8,0.22,-0.6,-0.02,1.07,0.56,0.1,0.19,1.47,0.24,0.03,0.14,0.13,-0.76
Hanford-Corcoran,CA,36.3214463,-119.6444329,0.2,-1.79,-0.11,-0.01,0.78,0.56,0.13,0.09,-0.13,0.16,0.07,0.01,0.17,0.26
Harrisburg-Carlisle,PA,40.2275655,-76.8665116,0.4,0,-0.27,0.2,0.18,0.08,0.17,-0.09,-0.92,0.75,0.47,-0.03,0.03,-0.18
Harrisonburg,VA,38.4495688,-78.8689155,-1.7,-0.2,-0.24,-0.07,-0.97,(D),(D),0.17,-0.12,-0.06,-0.02,-0.05,-0.01,0.04
Hartford-West Hartford-East Hartford,CT,41.952965,-72.788213,0.6,0,-0.04,-0.75,-0.12,0.19,-0.06,0.18,-0.29,1.18,0.24,0.04,0.01,0.05
